"","state","county","tract","healthcare_adjusted"
"597","37","153","970500",0.0648379052369077
"598","37","153","970900",0.111787380807466
"599","37","153","970800",0.0954456308563957
"600","37","023","020900",0.0733227068540791
"601","37","025","040600",0.0239740516147229
"602","37","077","970400",0.0698108180122569
"603","37","077","970300",0.137716066874469
"604","37","077","970200",0.102697095435685
"605","37","085","070600",0.149336283185841
"606","37","085","070700",0.0638977635782748
"607","37","085","070100",0.132485997414907
"608","37","085","070300",0.104899249308574
"609","37","085","070200",0.178185391418277
"610","37","085","070500",0.157937017994859
"611","37","093","970300",0.165934695436319
"612","37","051","003203",0.0815058479532164
"613","37","183","051502",0.0395049976201809
"614","37","183","052301",0.0706741223982603
"615","37","183","052302",0.0597494045769908
"616","37","183","053505",0.0181716522225328
"617","37","183","053507",0.112237509051412
"618","37","183","053713",0.0730321113952827
"619","37","183","053715",0.0700545506747057
"620","37","183","053716",0.109582542694497
"621","37","183","054006",0.151176825588413
"622","37","183","054007",0.102493074792244
"623","37","183","053714",0.0625718886588452
"624","37","183","054106",0.191717600099788
"625","37","085","071201",0.155300472653612
"626","37","085","071202",0.101044634377968
"627","37","085","071203",0.079879427279578
"628","37","085","071204",0.080543358946213
"629","37","085","071301",0.102127659574468
"630","37","085","071302",0.0484306446169423
"631","37","085","071303",0.0338352371062651
"632","37","081","013602",0.185671315285753
"633","37","081","014406",0.146739130434783
"634","37","081","014501",0.221830985915493
"635","37","081","017100",0.0462579397956366
"636","37","081","012707",0.158983050847458
"637","37","051","003700",0.0533314669652856
"638","37","051","001400",0.122422886367269
"639","37","003","040500",0.108466362599772
"640","37","183","054113",0.14175654853621
"641","37","183","054114",0.0956785201722213
"642","37","183","054115",0.118487113689613
"643","37","183","054203",0.01404099971918
"644","37","183","054204",0.039045970378919
"645","37","183","054205",0.0584663428174879
"646","37","183","054206",0.0547208603510992
"647","37","183","054207",0.040041819132253
"648","37","097","060802",0.115118291979227
"649","37","097","060901",0.148522354129831
"650","37","097","060902",0.0958805107203084
"651","37","097","061001",0.0886524822695035
"652","37","097","061002",0.0738564834242551
"653","37","097","061003",0.062378640776699
"654","37","097","061101",0.104938271604938
"655","37","097","061102",0.103973707798028
"656","37","097","061103",0.0859699584531799
"657","37","183","053524",0.0729613733905579
"658","37","183","053525",0.0570071258907363
"659","37","183","053601",0.0377441946185035
"660","37","183","053602",0.0493087557603687
"661","37","183","053603",0.0135908440629471
"662","37","183","053604",0.0209629117714812
"663","37","183","053605",0.062202852614897
"664","37","183","053606",0.0303738317757009
"665","37","183","053607",0.100779904790844
"666","37","183","053608",0.0356646595646132
"667","37","183","053609",0.142147117296223
"668","37","183","053610",0.0838372959986745
"669","37","183","053717",0.0701051577366049
"670","37","183","053718",0.0220507166482911
"671","37","183","053719",0.0395044413277232
"672","37","183","053720",0.0279385854517996
"673","37","183","053721",0.0308756986957679
"674","37","183","053724",0.0528971105335576
"675","37","183","053725",0.0402482979575491
"676","37","183","053726",0.0487057220708447
"677","37","183","053803",0.0104223806911684
"678","37","183","053804",0.0361552028218695
"679","37","183","053805",0.0102536427415003
"680","37","183","053806",0.00368879946344735
